species,latitude,longitude,year,eventID
Pasimachus punctulatus,35.679121,-83.482275,2017,GRSM.2017.32
Pterostichus acutipes,35.670778,-83.481653,2017,GRSM.2017.32
Pterostichus acutipes,35.670778,-83.481653,2017,GRSM.2017.32
Pterostichus acutipes,35.679121,-83.482275,2017,GRSM.2017.32
Pterostichus acutipes,35.684589,-83.532102,2017,GRSM.2017.32
Dicaelus teter,35.679121,-83.482275,2017,GRSM.2017.32
Pterostichus acutipes,35.66449,-83.524234,2017,GRSM.2017.32
Pterostichus acutipes,35.66449,-83.524234,2017,GRSM.2017.32
Dicaelus dilatatus,35.670778,-83.481653,2017,GRSM.2017.32
Cyclotrachelus freitagi,35.66449,-83.524234,2017,GRSM.2017.32
Cyclotrachelus freitagi,35.670778,-83.481653,2017,GRSM.2017.32
Cyclotrachelus sigillatus,35.670778,-83.481653,2017,GRSM.2017.32
Dicaelus teter,35.670778,-83.481653,2017,GRSM.2017.32
Dicaelus dilatatus,35.679121,-83.482275,2017,GRSM.2017.32
Amphasia interstitialis,35.66449,-83.524234,2017,GRSM.2017.32
Sphaeroderus bicarinatus,35.670778,-83.481653,2017,GRSM.2017.32
